source,external_product_code,product_name,category_name,sale_date,quantity
vn_synthetic,VNM-S100,Sữa Tươi Vinamilk 100% 1L,Sữa và các sản phẩm từ sữa,2025-06-10,48
vn_synthetic,VNM-YOG,Sữa chua Vinamilk có đường,Sữa và các sản phẩm từ sữa,2025-06-10,29
vn_synthetic,VNM-COND,Sữa đặc Ông Thọ 380g,Sữa và các sản phẩm từ sữa,2025-06-10,25
vn_synthetic,VNM-PROB,Sữa chua probiotic Vinamilk,Sữa và các sản phẩm từ sữa,2025-06-10,28
vn_synthetic,VNM-CHEE,Phô mai con bò cười 8v,Sữa và các sản phẩm từ sữa,2025-06-10,20
vn_synthetic,LAVIE-500,Nước Lavie 500ml,Đồ uống,2025-06-10,170
vn_synthetic,COCA-320,Coca-Cola 320ml,Đồ uống,2025-06-10,132
vn_synthetic,PEPSI-390,Pepsi 390ml,Đồ uống,2025-06-10,74
vn_synthetic,AQUA-1500,Aquafina 1.5L,Đồ uống,2025-06-10,69
vn_synthetic,REDBULL-250,Red Bull 250ml,Đồ uống,2025-06-10,40
vn_synthetic,STING-330,Sting dâu 330ml,Đồ uống,2025-06-10,73
vn_synthetic,G7-3IN1,Cà phê G7 3in1 hộp 18 gói,Đồ uống,2025-06-10,29
vn_synthetic,NESCAFE-3IN1,Nescafé 3in1 hộp 24 gói,Đồ uống,2025-06-10,20
vn_synthetic,HEINEKEN-330,Bia Heineken Sleek 330ml,Đồ uống,2025-06-10,39
vn_synthetic,TIGER-330,Bia Tiger Crystal 330ml,Đồ uống,2025-06-10,42
vn_synthetic,HAOHAO-TOM,Mì Hảo Hảo Tôm Chua Cay,Thực phẩm đóng gói,2025-06-10,97
vn_synthetic,HAOHAO-CHUA,Mì Hảo Hảo Chua Cay,Thực phẩm đóng gói,2025-06-10,76
vn_synthetic,OMACHI-BO,Mì Omachi Bò Hầm,Thực phẩm đóng gói,2025-06-10,44
vn_synthetic,KOKOMI-TOM,Mì Kokomi Tôm,Thực phẩm đóng gói,2025-06-10,64
vn_synthetic,MILO-22G,Milo gói 22g,Thực phẩm đóng gói,2025-06-10,36
vn_synthetic,CHOCOPIE-12,Bánh Chocopie hộp 12 cái,Đồ ăn vặt,2025-06-10,29
vn_synthetic,OREO-133,Bánh Oreo 133g,Đồ ăn vặt,2025-06-10,33
vn_synthetic,PIZZA-PIE,Bánh quy Cosy Marie,Đồ ăn vặt,2025-06-10,26
vn_synthetic,KITKAT-4F,KitKat 4 thanh,Đồ ăn vặt,2025-06-10,18
